,Code,Country,Population,Total_Cases,Total_Deaths,Human_Dev_Index,Gdp_Per_Capita,Stringency_Index,Continent
155,ROU,Romania,19237682,10672859.0,464952.0,0.81,23313.2,45.01,Europe
156,RUS,Russia,145934460,132888951.0,2131571.0,0.82,24765.95,50.64,Europe
157,RWA,Rwanda,12952209,388775.0,1744.0,0.39,1381.2,53.25,Africa
158,KNA,Saint Kitts and Nevis,53192,3246.0,0.0,0.55,17442.56,0.0,North America
159,LCA,Saint Lucia,183629,4450.0,0.0,0.56,9647.8,0.0,North America
160,VCT,Saint Vincent and the Grenadines,110947,7824.0,0.0,0.53,7881.17,0.0,North America
161,SMR,San Marino,33938,134994.0,8596.0,0.0,56861.47,40.03,Europe
162,STP,Sao Tome and Principe,219161,121909.0,2198.0,0.39,2014.38,0.0,Africa
163,SAU,Saudi Arabia,34813867,38585191.0,442507.0,0.67,38702.5,54.82,Asia
164,SEN,Senegal,16743930,1586747.0,30320.0,0.4,1974.78,37.28,Africa
165,SRB,Serbia,6804596,3984174.0,87503.0,0.63,11325.12,45.1,Europe
166,SYC,Seychelles,98340,14701.0,0.0,0.59,19652.11,29.14,Africa
167,SLE,Sierra Leone,7976985,268396.0,10036.0,0.29,955.24,34.12,Africa
168,SGP,Singapore,5850343,8191161.0,4691.0,0.93,85535.38,49.87,Asia
169,SXM,Sint Maarten (Dutch part),42882,48026.0,3146.0,0.0,27925.02,0.0,Unknown
170,SVK,Slovakia,5459643,798665.0,6055.0,0.66,23385.63,37.8,Europe
171,SVN,Slovenia,2078932,547075.0,22165.0,0.69,24351.67,40.17,Europe
172,SLB,Solomon Islands,686878,11.0,0.0,0.01,30.01,0.0,Oceania
173,SOM,Somalia,15893219,491145.0,15001.0,0.0,0.0,29.21,Africa
174,ZAF,South Africa,59308690,63027659.0,1357682.0,0.61,10705.74,55.62,Africa
175,KOR,South Korea,51269183,3333075.0,63333.0,0.9,35938.37,46.03,Asia
176,SSD,South Sudan,11193729,333500.0,6063.0,0.26,1051.93,48.29,Africa
177,ESP,Spain,46754783,73717676.0,5510624.0,0.89,34155.79,49.86,Europe
178,LKA,Sri Lanka,21413250,446643.0,2108.0,0.77,11669.08,43.35,Asia
179,SDN,Sudan,43849269,1663545.0,102825.0,0.38,3342.28,55.26,Africa
180,SUR,Suriname,586634,358632.0,6961.0,0.52,10020.96,57.91,South America
181,SWZ,Swaziland,1160164,444238.0,8179.0,0.44,5764.75,54.4,Africa
182,SWE,Sweden,10099270,11910109.0,941063.0,0.92,46470.21,29.54,Europe
183,CHE,Switzerland,8654618,7552067.0,320693.0,0.94,57410.17,40.78,Europe
184,SYR,Syria,17500657,267902.0,12098.0,0.38,0.0,44.93,Asia
185,TWN,Taiwan,23816775,97074.0,1423.0,0.0,0.0,21.16,Asia
186,TJK,Tajikistan,9537642,1117391.0,9730.0,0.38,1694.79,29.76,Asia
187,TZA,Tanzania,59734213,91526.0,3733.0,0.4,1980.53,22.71,Africa
188,THA,Thailand,69799978,655703.0,11162.0,0.76,16277.67,42.95,Asia
189,TLS,Timor,1318442,4697.0,0.0,0.45,4737.62,29.86,Unknown
190,TGO,Togo,8278737,169903.0,4197.0,0.39,1118.56,42.16,Africa
191,TTO,Trinidad and Tobago,1399491,225550.0,4519.0,0.59,21621.22,52.13,North America
192,TUN,Tunisia,11818618,1000626.0,19025.0,0.56,8339.94,37.78,Africa
193,TUR,Turkey,84339067,41431948.0,1049757.0,0.59,18804.27,47.09,Asia
194,TCA,Turks and Caicos Islands,38718,44432.0,476.0,0.0,0.0,36.94,North America
195,UGA,Uganda,45741000,448728.0,3748.0,0.37,1224.2,59.4,Africa
196,UKR,Ukraine,43733759,15805665.0,343334.0,0.57,6041.63,49.01,Europe
197,ARE,United Arab Emirates,9890400,10247326.0,58035.0,0.86,67293.48,45.24,Asia
198,GBR,United Kingdom,67886004,59475032.0,7249573.0,0.92,39753.24,50.0,Europe
199,USA,United States,331002647,746014098.0,26477574.0,0.92,54225.45,51.03,North America
200,VIR,United States Virgin Islands,104423,98536.0,1833.0,0.0,0.0,0.0,North America
201,URY,Uruguay,3473727,239884.0,6083.0,0.6,15308.7,33.85,South America
202,UZB,Uzbekistan,33469199,4421215.0,31903.0,0.53,4636.66,54.33,Asia
203,VAT,Vatican,809,2415.0,0.0,0.0,0.0,0.0,Unknown
204,VEN,Venezuela,28435943,4839834.0,40840.0,0.57,12473.33,61.12,South America
205,VNM,Vietnam,97338583,122618.0,2318.0,0.69,6171.88,56.42,Asia
206,YEM,Yemen,29825968,228925.0,64304.0,0.3,971.0,27.8,Asia
207,ZMB,Zambia,18383956,1129913.0,26475.0,0.43,2697.92,33.29,Africa
208,ZWE,Zimbabwe,14862927,593699.0,15984.0,0.39,1376.37,57.36,Africa
